event_name,total_budget,staffing_cost,expected_capacity,allocated_staff_count
Lake Janetshire vs New Elizabeth Championship,0.0,0.0,15000,0
Profound fresh-thinking groupware Summit,0.0,0.0,1500,0
Kimberly Romero Live Special,0.0,0.0,15000,0
Integrated object-oriented function Summit,0.0,0.0,5000,0
Noble Inc Tour,0.0,0.0,1500,0
Harris-Munoz Tour,0.0,0.0,15000,0
Kristi Hill Live Special,0.0,0.0,15000,0
East Johnbury vs Gregoryhaven Championship,0.0,0.0,1500,0
Mia Allen Live Special,0.0,0.0,1500,0
Brown-Dixon Tour,0.0,0.0,500,0
Roberts-Flowers Tour,0.0,0.0,15000,0
"Wise, Brown and Becker Tour",0.0,0.0,50000,0
Optimized directional matrices Summit,0.0,0.0,1500,0
Multi-layered web-enabled pricing structure Summit,0.0,0.0,15000,0
Megan White Live Special,0.0,0.0,1500,0
Persistent even-keeled framework Summit,0.0,0.0,50000,0
Mary Salas Live Special,0.0,0.0,500,0
Vision-oriented intermediate strategy Summit,0.0,0.0,500,0
Michael Hubbard Live Special,0.0,0.0,500,0
Ronald Huynh Live Special,0.0,0.0,1500,0
Ryan Green Live Special,0.0,0.0,50000,0
"Mccann, Forbes and Boyer Tour",0.0,0.0,15000,0
"Hampton, Martinez and Ferguson Tour",0.0,0.0,1500,0
Williams-Klein Tour,0.0,0.0,500,0
Self-enabling mission-critical adapter Summit,0.0,0.0,5000,0
"Marshall, Hodge and Rose Tour",0.0,0.0,1500,0
Megan Mann Live Special,0.0,0.0,50000,0
Morrison and Sons Tour,0.0,0.0,50000,0
Jackson-Williams Tour,0.0,0.0,5000,0
Erika Howard Live Special,0.0,0.0,500,0
Vang-Carr Tour,0.0,0.0,50000,0
Lauraborough vs East Jamie Championship,0.0,0.0,15000,0
"Andrade, Griffin and Landry Tour",0.0,0.0,1500,0
Trevinoton vs Port Earlchester Championship,0.0,0.0,1500,0
Moody Ltd Tour,0.0,0.0,1500,0
Devolved eco-centric website Summit,0.0,0.0,500,0
Mandatory cohesive encoding Summit,0.0,0.0,500,0
Adams Group Tour,0.0,0.0,500,0
Synergized even-keeled concept Summit,0.0,0.0,1500,0
East Michealberg vs Port Sarah Championship,0.0,0.0,1500,0
Marie Smith Live Special,0.0,0.0,5000,0
Automated background circuit Summit,0.0,0.0,5000,0
Port Codyhaven vs North Linda Championship,0.0,0.0,5000,0
Triple-buffered dynamic archive Summit,0.0,0.0,5000,0
Amy Carroll Live Special,0.0,0.0,50000,0
Clinton Mosley Live Special,0.0,0.0,500,0
East Marciaview vs New Juan Championship,0.0,0.0,500,0
Emily Obrien Live Special,0.0,0.0,500,0
Multi-channeled interactive parallelism Summit,0.0,0.0,15000,0
"Contreras, Smith and Elliott Tour",0.0,0.0,5000,0
Down-sized impactful data-warehouse Summit,0.0,0.0,5000,0
Port Jamieshire vs North Brian Championship,0.0,0.0,500,0
Port Rachelview vs Sandrastad Championship,0.0,0.0,500,0
Open-source bi-directional firmware Summit,0.0,0.0,15000,0
Daviesfort vs Lake Jon Championship,0.0,0.0,15000,0
Jennifer Shaffer Live Special,0.0,0.0,15000,0
West Debrachester vs Lake Ian Championship,0.0,0.0,5000,0
Laura Tate Live Special,0.0,0.0,5000,0
"Ellis, Adams and Howell Tour",0.0,0.0,1500,0
"Harmon, Smith and Gonzalez Tour",0.0,0.0,500,0
Ameliorated client-driven focus group Summit,0.0,0.0,5000,0
Integrated zero tolerance conglomeration Summit,0.0,0.0,15000,0
Ms. Brenda Vargas Live Special,0.0,0.0,15000,0
Laura Barnett Live Special,0.0,0.0,15000,0
Anthony Rodriguez Live Special,0.0,0.0,5000,0
Jenny Green Live Special,0.0,0.0,50000,0
Jacob Carpenter Live Special,0.0,0.0,5000,0
Amber Barnes Live Special,0.0,0.0,50000,0
Todd Henderson Live Special,0.0,0.0,15000,0
North Monicabury vs East Juan Championship,0.0,0.0,500,0
Vision-oriented hybrid parallelism Summit,0.0,0.0,15000,0
David Hawkins Live Special,0.0,0.0,5000,0
Bradleyshire vs Cannonborough Championship,0.0,0.0,15000,0
Port Gabrielfort vs South Ashley Championship,0.0,0.0,1500,0
Decentralized multimedia artificial intelligence Summit,0.0,0.0,500,0
Rivera-Smith Tour,0.0,0.0,1500,0
Eric Harper Live Special,0.0,0.0,50000,0
Arias PLC Tour,0.0,0.0,50000,0
Shannon Stone Live Special,0.0,0.0,15000,0
Moorestad vs East Helen Championship,0.0,0.0,15000,0
Dalebury vs Chapmanfort Championship,0.0,0.0,5000,0
Wyattbury vs Lake Davidborough Championship,0.0,0.0,1500,0
Geraldview vs Randallfort Championship,0.0,0.0,500,0
Gregory Jones Live Special,0.0,0.0,500,0
Nicole Oconnor Live Special,0.0,0.0,15000,0
Gould-Delgado Tour,0.0,0.0,15000,0
Hugheshaven vs Perezstad Championship,0.0,0.0,5000,0
Rebecca Salazar Live Special,0.0,0.0,1500,0
Jasmine Rivera Live Special,0.0,0.0,15000,0
Deniseton vs Perrychester Championship,0.0,0.0,50000,0
Shawn Compton Live Special,0.0,0.0,50000,0
Mark Jimenez Live Special,0.0,0.0,50000,0
New Stephenfort vs Campostown Championship,0.0,0.0,5000,0
"Donovan, Watkins and Moore Tour",0.0,0.0,50000,0
Morse Group Tour,0.0,0.0,500,0
Alvin Ward Live Special,0.0,0.0,1500,0
Johnson Inc Tour,0.0,0.0,500,0
Team-oriented tangible middleware Summit,0.0,0.0,1500,0
Garcia-James Tour,0.0,0.0,50000,0
Koch PLC Tour,0.0,0.0,5000,0
concert 12,5000.0,5000.0,200,0
