event_name,demand_status,ai_suggested_price,ticket_velocity
Arijith singh concert,Cold,90.0,0
"Martinez, Jones and Morris Tour",Cold,166.07,117
William Pacheco Live Special,Cold,53.81,123
Upgradable leadingedge focus group Summit,Cold,354.22,122
Debbie Hill Live Special,Cold,37.72,136
Self-enabling explicit focus group Summit,Cold,651.53,130
Port Rachel vs New Bonnie Championship,Cold,241.8,110
Brennanmouth vs Gonzalezborough Championship,Cold,161.78,135
Brandon Miranda Live Special,Cold,54.76,130
Lake Janetshire vs New Elizabeth Championship,Cold,78.91,134
Profound fresh-thinking groupware Summit,Cold,730.83,116
Kimberly Romero Live Special,Cold,66.05,125
Integrated object-oriented function Summit,Cold,353.89,120
Noble Inc Tour,Cold,96.54,121
Harris-Munoz Tour,Cold,67.02,126
Kristi Hill Live Special,Cold,38.67,136
East Johnbury vs Gregoryhaven Championship,Cold,215.4,136
Mia Allen Live Special,Cold,38.13,128
Brown-Dixon Tour,Cold,140.79,114
Roberts-Flowers Tour,Cold,36.59,131
"Wise, Brown and Becker Tour",Cold,206.16,118
Optimized directional matrices Summit,Cold,709.26,124
Multi-layered web-enabled pricing structure Summit,Cold,572.08,118
Megan White Live Special,Cold,61.62,127
Persistent even-keeled framework Summit,Cold,287.0,122
Mary Salas Live Special,Cold,18.51,133
Vision-oriented intermediate strategy Summit,Cold,770.46,120
Michael Hubbard Live Special,Cold,36.23,134
Ronald Huynh Live Special,Cold,20.57,121
Ryan Green Live Special,Cold,66.93,113
"Mccann, Forbes and Boyer Tour",Cold,51.75,138
"Hampton, Martinez and Ferguson Tour",Cold,158.37,129
Williams-Klein Tour,Cold,195.1,122
Self-enabling mission-critical adapter Summit,Cold,519.11,136
"Marshall, Hodge and Rose Tour",Cold,167.16,113
Megan Mann Live Special,Cold,45.22,117
Morrison and Sons Tour,Cold,95.13,126
Jackson-Williams Tour,Cold,188.28,137
Erika Howard Live Special,Cold,57.48,128
Vang-Carr Tour,Cold,182.88,125
Lauraborough vs East Jamie Championship,Cold,46.29,112
"Andrade, Griffin and Landry Tour",Cold,57.47,114
Trevinoton vs Port Earlchester Championship,Cold,244.65,114
Moody Ltd Tour,Cold,198.66,140
Devolved eco-centric website Summit,Cold,380.45,73
Mandatory cohesive encoding Summit,Cold,664.73,113
Adams Group Tour,Cold,98.75,112
Synergized even-keeled concept Summit,Cold,241.45,125
East Michealberg vs Port Sarah Championship,Cold,165.68,6
Marie Smith Live Special,Cold,29.67,136
Automated background circuit Summit,Cold,447.94,136
Port Codyhaven vs North Linda Championship,Cold,88.43,120
Triple-buffered dynamic archive Summit,Cold,246.77,120
Amy Carroll Live Special,Cold,36.59,125
Clinton Mosley Live Special,Cold,41.88,115
East Marciaview vs New Juan Championship,Cold,60.46,123
Emily Obrien Live Special,Cold,22.14,141
Multi-channeled interactive parallelism Summit,Cold,618.9,112
"Contreras, Smith and Elliott Tour",Cold,216.31,121
Down-sized impactful data-warehouse Summit,Cold,652.85,128
Port Jamieshire vs North Brian Championship,Cold,159.71,135
Port Rachelview vs Sandrastad Championship,Cold,181.57,14
Open-source bi-directional firmware Summit,Cold,608.22,130
Daviesfort vs Lake Jon Championship,Cold,58.85,127
Jennifer Shaffer Live Special,Cold,57.28,114
West Debrachester vs Lake Ian Championship,Cold,188.22,122
Laura Tate Live Special,Cold,70.07,139
"Ellis, Adams and Howell Tour",Cold,109.01,23
"Harmon, Smith and Gonzalez Tour",Cold,37.16,13
Ameliorated client-driven focus group Summit,Cold,425.0,123
Integrated zero tolerance conglomeration Summit,Cold,511.99,128
Ms. Brenda Vargas Live Special,Cold,41.12,130
Laura Barnett Live Special,Cold,43.31,119
Anthony Rodriguez Live Special,Cold,44.44,110
Jenny Green Live Special,Cold,38.35,124
Jacob Carpenter Live Special,Cold,46.59,114
Amber Barnes Live Special,Cold,48.72,123
Todd Henderson Live Special,Cold,19.93,128
North Monicabury vs East Juan Championship,Cold,235.38,34
Vision-oriented hybrid parallelism Summit,Cold,157.61,61
David Hawkins Live Special,Cold,58.69,77
Bradleyshire vs Cannonborough Championship,Cold,261.43,142
Port Gabrielfort vs South Ashley Championship,Cold,175.75,66
Decentralized multimedia artificial intelligence Summit,Cold,208.69,26
Rivera-Smith Tour,Cold,72.73,58
Eric Harper Live Special,Cold,31.54,132
Arias PLC Tour,Cold,218.26,36
Shannon Stone Live Special,Cold,68.86,120
Moorestad vs East Helen Championship,Cold,250.11,122
Dalebury vs Chapmanfort Championship,Cold,260.36,117
Wyattbury vs Lake Davidborough Championship,Cold,268.04,105
Geraldview vs Randallfort Championship,Cold,260.27,1
Gregory Jones Live Special,Cold,58.42,17
Nicole Oconnor Live Special,Cold,50.32,130
Gould-Delgado Tour,Cold,87.82,125
Hugheshaven vs Perezstad Championship,Cold,243.02,124
Rebecca Salazar Live Special,Cold,51.56,121
Jasmine Rivera Live Special,Cold,19.09,123
Deniseton vs Perrychester Championship,Cold,186.78,125
Shawn Compton Live Special,Cold,27.47,129
Mark Jimenez Live Special,Cold,39.98,127
New Stephenfort vs Campostown Championship,Cold,254.4,124
"Donovan, Watkins and Moore Tour",Cold,198.58,124
Morse Group Tour,Cold,47.22,43
Alvin Ward Live Special,Cold,52.46,4
Johnson Inc Tour,Cold,119.47,15
Team-oriented tangible middleware Summit,Cold,364.41,9
Garcia-James Tour,Cold,104.7,120
Koch PLC Tour,Cold,105.48,74
concert 12,Cold,45.0,0
